mode,switch_index,start_time_s,end_time_s,switch_time_s,energy_estimate,entry_heading_deg
crab,1,29.504,31.456,1.9519999999999982,31.230757050432512,-0.5113929231311685
crab,2,48.768,50.624,1.8560000000000016,29.688830765974703,-178.74049606607065
crab,3,67.456,69.21600000000001,1.7600000000000051,28.127582313012702,-2.749793234772686
crab,4,86.464,88.352,1.8880000000000052,30.20392043087878,-179.05787255029836
crab,5,105.184,106.944,1.7600000000000051,28.126190800882192,-2.808191198134413
crab,6,124.256,126.11200000000001,1.8560000000000088,29.68887768716962,-178.74462216646657
crab,7,142.94400000000002,144.704,1.759999999999991,28.127570929090094,-2.750260476334514
crab,8,161.952,163.872,1.920000000000016,30.717277587475287,-179.23673752171473
crab,9,180.704,182.464,1.759999999999991,28.12477766485696,-2.866287927628584
crab,10,199.616,201.536,1.9199999999999875,30.717734334382097,-179.30366047776306
crab,11,218.336,220.096,1.759999999999991,28.12481532999662,-2.8647549960923975
crab,12,237.44,239.296,1.8559999999999945,29.68573056295231,-178.49265458169324
crab,13,256.128,257.88800000000003,1.7600000000000477,28.1276258692878,-2.74794353136704
