mode,switch_index,start_time_s,end_time_s,switch_time_s,energy_estimate,entry_heading_deg
efficient,1,27.968,29.984,2.016000000000002,32.25598411433809,-0.05706524545017194
efficient,2,45.216,47.264,2.048000000000002,32.76782687652592,-0.18678432796906017
efficient,3,62.464,64.57600000000001,2.112000000000009,33.79191198614977,0.1305329931616399
efficient,4,79.776,81.824,2.048000000000002,32.767999934867646,-0.003737363319657544
efficient,5,97.024,99.136,2.1119999999999948,33.7919180577207,0.12595518079659399
efficient,6,114.336,116.384,2.048000000000002,32.76799994093026,-0.003545458072001015
efficient,7,131.584,133.696,2.1119999999999948,33.791918272557865,0.12583208122670164
efficient,8,148.89600000000002,150.94400000000002,2.048000000000002,32.767999939881584,-0.003577084714937432
efficient,9,166.144,168.256,2.1119999999999948,33.79191806803588,0.12594312641793742
efficient,10,183.45600000000002,185.504,2.0479999999999734,32.76799993814983,-0.003631191187207747
efficient,11,200.704,202.816,2.1119999999999948,33.791918013425665,0.12597996988934643
efficient,12,218.016,220.064,2.048000000000002,32.76799994053203,-0.0035583830728754444
efficient,13,235.264,237.376,2.1119999999999948,33.791918262506286,0.12583807067747615
