mode,switch_index,start_time_s,end_time_s,switch_time_s,energy_estimate
turn,1,29.504,31.808,2.3039999999999985,64.28880255488129
turn,2,48.352000000000004,51.104,2.7519999999999953,79.62704224717015
turn,3,67.776,70.08,2.304000000000002,64.30767703333242
turn,4,86.624,89.376,2.7520000000000095,79.59368226142536
turn,5,106.048,108.352,2.304000000000002,64.30747925499807
turn,6,124.896,127.648,2.7519999999999953,79.63769447979598
turn,7,144.352,146.656,2.304000000000002,64.30687200055611
turn,8,163.20000000000002,165.952,2.751999999999981,79.6039237354253
turn,9,182.624,184.928,2.304000000000002,64.30750317936103
turn,10,201.472,204.192,2.719999999999999,79.33746877579055
turn,11,220.864,223.168,2.304000000000002,64.30950042364857
turn,12,239.71200000000002,242.43200000000002,2.719999999999999,79.33754690074488
turn,13,259.104,261.408,2.3040000000000305,64.30999491895527
